s_date,data_type,bank_no,rack_no,q_amt,dtime,sid
20220105,D,2,18,102.33756,2022-01-17,92
20220105,C,2,19,101.8947,2022-01-17,93
20220105,D,2,19,93.0375,2022-01-17,94
20220105,C,2,20,92.59464,2022-01-17,95
20220105,D,2,20,92.15178,2022-01-17,96
20220105,C,2,21,91.70892,2022-01-17,97
20220105,D,2,21,91.26606,2022-01-17,98
20220105,C,2,22,90.8232,2022-01-17,99
20220105,D,2,22,106.3233,2022-01-17,100
20220105,C,2,23,104.109,2022-01-17,101
20220105,D,2,23,106.3233,2022-01-17,102
20220105,C,2,24,104.109,2022-01-17,103
20220105,D,2,24,104.109,2022-01-17,104
20220105,C,2,25,103.66614,2022-01-17,105
20220105,D,2,25,103.22328,2022-01-17,106
20220105,C,2,26,102.78042,2022-01-17,107
20220105,D,2,26,102.33756,2022-01-17,108
20220105,C,2,27,101.8947,2022-01-17,109
20220105,D,2,27,85.95174,2022-01-17,110
20220105,C,2,28,85.50888,2022-01-17,111
20220105,D,2,28,85.06602,2022-01-17,112
20220105,C,1,1,106.3233,2022-01-17,113
20220105,D,1,1,104.109,2022-01-17,114
20220105,C,1,2,106.3233,2022-01-17,115
20220105,D,1,2,97.90896,2022-01-17,116
20220105,C,1,3,106.3233,2022-01-17,117
20220105,D,1,3,104.109,2022-01-17,118
20220105,C,1,4,106.3233,2022-01-17,119
20220105,D,1,4,104.109,2022-01-17,120
20220105,C,1,5,104.109,2022-01-17,121
20220105,D,1,5,103.66614,2022-01-17,122
20220105,C,1,6,103.22328,2022-01-17,123
20220105,D,1,6,102.78042,2022-01-17,124
20220105,C,1,7,102.33756,2022-01-17,125
20220105,D,1,7,101.8947,2022-01-17,126
20220105,C,1,8,93.0375,2022-01-17,127
20220105,D,1,8,92.59464,2022-01-17,128
20220105,C,1,9,92.15178,2022-01-17,129
20220105,D,1,9,91.70892,2022-01-17,130
20220105,C,1,10,91.26606,2022-01-17,131
20220105,D,1,10,90.8232,2022-01-17,132
20220105,C,1,11,106.3233,2022-01-17,133
20220105,D,1,11,104.109,2022-01-17,134
20220105,C,1,12,106.3233,2022-01-17,135
20220105,D,1,12,104.109,2022-01-17,136
20220105,C,1,13,104.109,2022-01-17,137
20220105,D,1,13,103.66614,2022-01-17,138
20220105,C,1,14,103.22328,2022-01-17,139
20220105,D,1,14,102.78042,2022-01-17,140
20220105,C,1,15,102.33756,2022-01-17,141
20220105,D,1,15,101.8947,2022-01-17,142
20220105,C,1,16,85.95174,2022-01-17,143
20220105,D,1,16,85.50888,2022-01-17,144
20220105,C,1,17,85.06602,2022-01-17,145
20220105,D,1,17,106.3233,2022-01-17,146
20220105,C,1,18,104.109,2022-01-17,147
20220105,D,1,18,106.3233,2022-01-17,148
20220105,C,1,19,97.90896,2022-01-17,149
20220105,D,1,19,106.3233,2022-01-17,150
20220105,C,1,20,104.109,2022-01-17,151
20220105,D,1,20,106.3233,2022-01-17,152
20220105,C,1,21,104.109,2022-01-17,153
20220105,D,1,21,104.109,2022-01-17,154
20220105,C,1,22,103.66614,2022-01-17,155
20220105,D,1,22,103.22328,2022-01-17,156
20220105,C,1,23,102.78042,2022-01-17,157
20220105,D,1,23,102.33756,2022-01-17,158
20220105,C,1,24,101.8947,2022-01-17,159
20220105,D,1,24,93.0375,2022-01-17,160
20220105,C,1,25,92.59464,2022-01-17,161
20220105,D,1,25,92.15178,2022-01-17,162
20220105,C,1,26,91.70892,2022-01-17,163
20220105,D,1,26,91.26606,2022-01-17,164
20220105,C,1,27,90.8232,2022-01-17,165
20220105,D,1,27,106.3233,2022-01-17,166
20220105,C,1,28,104.109,2022-01-17,167
20220105,D,1,28,106.3233,2022-01-17,168
